away_score,clear_chances,corners,data_source,date,fotmob_match_id,fouls,ground_duels_won,ground_duels_won_pct,home_score,last_updated,match_id,opposition_half_passes,possession_pct,red_cards,shots_on_target,status,successful_dribbles,successful_dribbles_pct,team,team_id,total_shots,touches_in_opposition_box,utc_time,xg
0,1.0,2.0,fotmob-parse-bot,2026-06-17,4667826,9.0,35.0,44.0,1,2026-06-28,23,141.0,38.0,0.0,2.0,Completed,9.0,38.0,Ghana,47,7.0,14.0,2026-06-17T23:00:00.000Z,1.25
0,2.0,2.0,fotmob-parse-bot,2026-06-17,4667826,11.0,44.0,56.0,1,2026-06-28,23,166.0,62.0,0.0,4.0,Completed,6.0,43.0,Panama,48,11.0,19.0,2026-06-17T23:00:00.000Z,0.73
3,1.0,3.0,fotmob-parse-bot,2026-06-18,4667820,14.0,24.0,46.0,1,2026-06-28,24,95.0,39.0,0.0,2.0,Completed,5.0,50.0,Uzbekistan,43,8.0,5.0,2026-06-18T02:00:00.000Z,1.16
3,4.0,4.0,fotmob-parse-bot,2026-06-18,4667820,11.0,28.0,54.0,1,2026-06-28,24,238.0,61.0,0.0,4.0,Completed,5.0,42.0,Colombia,44,15.0,27.0,2026-06-18T02:00:00.000Z,1.61
0,2.0,0.0,fotmob-parse-bot,2026-06-19,4667754,9.0,27.0,44.0,1,2026-06-28,25,105.0,42.0,0.0,4.0,Completed,6.0,60.0,Mexico,1,8.0,6.0,2026-06-19T01:00:00.000Z,0.53
0,3.0,2.0,fotmob-parse-bot,2026-06-19,4667754,7.0,34.0,56.0,1,2026-06-28,25,185.0,58.0,0.0,2.0,Completed,9.0,53.0,South Korea,3,9.0,11.0,2026-06-19T01:00:00.000Z,0.91
1,3.0,5.0,fotmob-parse-bot,2026-06-18,4667753,12.0,32.0,46.0,1,2026-06-28,26,99.0,38.0,0.0,3.0,Completed,10.0,71.0,Czech Republic,4,14.0,16.0,2026-06-18T16:00:00.000Z,1.02
1,1.0,5.0,fotmob-parse-bot,2026-06-18,4667753,10.0,38.0,54.0,1,2026-06-28,26,237.0,62.0,0.0,4.0,Completed,8.0,62.0,South Africa,2,17.0,20.0,2026-06-18T16:00:00.000Z,1.38
0,6.0,19.0,fotmob-parse-bot,2026-06-18,4667760,9.0,25.0,48.0,6,2026-06-28,27,442.0,79.0,0.0,10.0,Completed,6.0,55.0,Canada,5,32.0,97.0,2026-06-18T22:00:00.000Z,4.6
0,0.0,1.0,fotmob-parse-bot,2026-06-18,4667760,10.0,27.0,52.0,6,2026-06-28,27,26.0,21.0,2.0,0.0,Completed,2.0,40.0,Qatar,7,2.0,1.0,2026-06-18T22:00:00.000Z,0.22
1,4.0,7.0,fotmob-parse-bot,2026-06-18,4667759,7.0,42.0,62.0,4,2026-06-28,28,293.0,62.0,0.0,7.0,Completed,6.0,50.0,Switzerland,8,13.0,35.0,2026-06-18T19:00:00.000Z,2.06
1,0.0,3.0,fotmob-parse-bot,2026-06-18,4667759,18.0,26.0,38.0,4,2026-06-28,28,96.0,38.0,1.0,3.0,Completed,6.0,50.0,Bosnia and Herzegovina,6,5.0,8.0,2026-06-18T19:00:00.000Z,0.23
0,5.0,4.0,fotmob-parse-bot,2026-06-20,4667767,13.0,38.0,54.0,3,2026-06-28,29,184.0,57.0,0.0,5.0,Completed,4.0,27.0,Brazil,9,8.0,24.0,2026-06-20T00:30:00.000Z,1.75
0,0.0,4.0,fotmob-parse-bot,2026-06-20,4667767,14.0,32.0,46.0,3,2026-06-28,29,173.0,43.0,0.0,3.0,Completed,3.0,18.0,Haiti,11,7.0,17.0,2026-06-20T00:30:00.000Z,0.23
1,1.0,2.0,fotmob-parse-bot,2026-06-19,4667766,11.0,31.0,55.0,0,2026-06-28,30,133.0,41.0,0.0,0.0,Completed,4.0,67.0,Scotland,12,6.0,20.0,2026-06-19T22:00:00.000Z,0.51
1,3.0,5.0,fotmob-parse-bot,2026-06-19,4667766,8.0,25.0,45.0,0,2026-06-28,30,244.0,59.0,0.0,2.0,Completed,5.0,28.0,Morocco,10,12.0,26.0,2026-06-19T22:00:00.000Z,0.99
0,2.0,7.0,fotmob-parse-bot,2026-06-19,4667774,12.0,44.0,54.0,2,2026-06-28,31,221.0,62.0,0.0,2.0,Completed,11.0,65.0,United States,13,10.0,20.0,2026-06-19T19:00:00.000Z,1.08
0,0.0,4.0,fotmob-parse-bot,2026-06-19,4667774,16.0,37.0,46.0,2,2026-06-28,31,109.0,38.0,0.0,2.0,Completed,14.0,56.0,Australia,15,5.0,20.0,2026-06-19T19:00:00.000Z,0.35
1,5.0,12.0,fotmob-parse-bot,2026-06-20,4667773,14.0,45.0,46.0,0,2026-06-28,32,387.0,78.0,0.0,5.0,Completed,13.0,48.0,Turkey,16,32.0,50.0,2026-06-20T03:00:00.000Z,2.17
1,0.0,0.0,fotmob-parse-bot,2026-06-20,4667773,15.0,52.0,54.0,0,2026-06-28,32,50.0,22.0,1.0,2.0,Completed,15.0,60.0,Paraguay,14,7.0,12.0,2026-06-20T03:00:00.000Z,0.32
1,5.0,8.0,fotmob-parse-bot,2026-06-20,4667780,5.0,38.0,46.0,2,2026-06-28,33,354.0,60.0,0.0,7.0,Completed,6.0,38.0,Germany,17,16.0,33.0,2026-06-20T20:00:00.000Z,1.89
1,2.0,3.0,fotmob-parse-bot,2026-06-20,4667780,7.0,44.0,54.0,2,2026-06-28,33,160.0,40.0,0.0,2.0,Completed,20.0,61.0,Ivory Coast,19,9.0,22.0,2026-06-20T20:00:00.000Z,1.22
0,6.0,9.0,fotmob-parse-bot,2026-06-21,4667779,7.0,36.0,52.0,0,2026-06-28,34,377.0,75.0,0.0,15.0,Completed,8.0,62.0,Ecuador,20,27.0,43.0,2026-06-21T00:00:00.000Z,2.84
0,0.0,0.0,fotmob-parse-bot,2026-06-21,4667779,10.0,33.0,48.0,0,2026-06-28,34,70.0,25.0,0.0,3.0,Completed,9.0,43.0,Curacao,18,10.0,12.0,2026-06-21T00:00:00.000Z,0.5
1,3.0,2.0,fotmob-parse-bot,2026-06-20,4667786,9.0,29.0,47.0,5,2026-06-28,35,193.0,51.0,0.0,7.0,Completed,3.0,23.0,Netherlands,21,10.0,20.0,2026-06-20T17:00:00.000Z,2.61
